Compiling
Running dinics's...
Execution 1: 0.011534
Execution 2: 0.010131
Execution 3: 0.010085
Execution 4: 0.010226
Execution 5: 0.010128
Execution 6: 0.010189
Execution 7: 0.010228
Execution 8: 0.010222
Execution 9: 0.010167
Execution 10: 0.010267
Execution 11: 0.01013
Execution 12: 0.01024
Execution 13: 0.010201
Execution 14: 0.010169
Execution 15: 0.010045
Execution 16: 0.010164
Execution 17: 0.01015
Execution 18: 0.010211
Execution 19: 0.010179
Execution 20: 0.01028
Execution 21: 0.010217
Execution 22: 0.010172
Execution 23: 0.010243
Execution 24: 0.010187
Execution 25: 0.010145
Execution 26: 0.010103
Execution 27: 0.010025
Execution 28: 0.010241
Execution 29: 0.010029
Execution 30: 0.010009
Execution 31: 0.010031
Execution 32: 0.010148
Execution 33: 0.010115
Execution 34: 0.010112
Execution 35: 0.010137
Execution 36: 0.010047
Execution 37: 0.010052
Execution 38: 0.010228
Execution 39: 0.010148
Execution 40: 0.010238
Execution 41: 0.010135
Execution 42: 0.010174
Execution 43: 0.010026
Execution 44: 0.010038
Execution 45: 0.010188
Execution 46: 0.010072
Execution 47: 0.010014
Execution 48: 0.009995
Execution 49: 0.010079
Execution 50: 0.010044
Execution 51: 0.010112
Execution 52: 0.010059
Execution 53: 0.010063
Execution 54: 0.010019
Execution 55: 0.010044
Execution 56: 0.010042
Execution 57: 0.010063
Execution 58: 0.010016
Execution 59: 0.010109
Execution 60: 0.010031
Execution 61: 0.010037
Execution 62: 0.010029
Execution 63: 0.010004
Execution 64: 0.010028
Execution 65: 0.01006
Execution 66: 0.010035
Execution 67: 0.010033
Execution 68: 0.010089
Execution 69: 0.010043
Execution 70: 0.010064
Execution 71: 0.010052
Execution 72: 0.010194
Execution 73: 0.01003
Execution 74: 0.010209
Execution 75: 0.010191
Execution 76: 0.010074
Execution 77: 0.010086
Execution 78: 0.010085
Execution 79: 0.010077
Execution 80: 0.010094
Execution 81: 0.010064
Execution 82: 0.01007
Execution 83: 0.010039
Execution 84: 0.010037
Execution 85: 0.01005
Execution 86: 0.010125
Execution 87: 0.010066
Execution 88: 0.010022
Execution 89: 0.010168
Execution 90: 0.010077
Execution 91: 0.010124
Execution 92: 0.010027
Execution 93: 0.010054
Execution 94: 0.010056
Execution 95: 0.010044
Execution 96: 0.010035
Execution 97: 0.010023
Execution 98: 0.010064
Execution 99: 0.010025
Execution 100: 0.010117
Average timing: 0.010116970000000003
Running dinics's with LCT...
Execution 1: 0.005943
Execution 2: 0.005091
Execution 3: 0.004952
Execution 4: 0.004953
Execution 5: 0.004941
Execution 6: 0.004962
Execution 7: 0.004946
Execution 8: 0.004934
Execution 9: 0.00509
Execution 10: 0.004952
Execution 11: 0.004943
Execution 12: 0.004962
Execution 13: 0.005117
Execution 14: 0.00495
Execution 15: 0.004938
Execution 16: 0.00494
Execution 17: 0.004956
Execution 18: 0.004957
Execution 19: 0.004927
Execution 20: 0.004952
Execution 21: 0.004922
Execution 22: 0.004961
Execution 23: 0.005093
Execution 24: 0.005281
Execution 25: 0.004956
Execution 26: 0.004951
Execution 27: 0.004972
Execution 28: 0.004952
Execution 29: 0.005098
Execution 30: 0.004948
Execution 31: 0.00495
Execution 32: 0.004934
Execution 33: 0.00493
Execution 34: 0.004939
Execution 35: 0.004934
Execution 36: 0.00495
Execution 37: 0.004953
Execution 38: 0.004954
Execution 39: 0.004954
Execution 40: 0.004978
Execution 41: 0.004943
Execution 42: 0.004942
Execution 43: 0.004967
Execution 44: 0.004942
Execution 45: 0.004951
Execution 46: 0.004944
Execution 47: 0.005091
Execution 48: 0.005183
Execution 49: 0.00514
Execution 50: 0.00512
Execution 51: 0.00498
Execution 52: 0.005081
Execution 53: 0.004943
Execution 54: 0.004932
Execution 55: 0.004928
Execution 56: 0.004935
Execution 57: 0.004939
Execution 58: 0.00493
Execution 59: 0.00514
Execution 60: 0.005289
Execution 61: 0.00528
Execution 62: 0.004951
Execution 63: 0.004953
Execution 64: 0.004935
Execution 65: 0.004991
Execution 66: 0.004933
Execution 67: 0.00497
Execution 68: 0.00495
Execution 69: 0.004946
Execution 70: 0.004948
Execution 71: 0.004953
Execution 72: 0.005158
Execution 73: 0.00512
Execution 74: 0.005112
Execution 75: 0.004943
Execution 76: 0.004988
Execution 77: 0.004949
Execution 78: 0.004959
Execution 79: 0.004941
Execution 80: 0.004955
Execution 81: 0.004938
Execution 82: 0.004927
Execution 83: 0.004942
Execution 84: 0.004926
Execution 85: 0.004961
Execution 86: 0.004929
Execution 87: 0.004927
Execution 88: 0.004948
Execution 89: 0.004933
Execution 90: 0.005131
Execution 91: 0.004939
Execution 92: 0.004929
Execution 93: 0.004928
Execution 94: 0.004925
Execution 95: 0.005212
Execution 96: 0.004931
Execution 97: 0.004934
Execution 98: 0.004935
Execution 99: 0.004922
Execution 100: 0.004929
Average timing: 0.004994170000000001
