963 3728
0 1 100
0 31 100
1 0 100
1 2 100
1 32 100
2 1 100
2 3 100
2 33 100
3 2 100
3 4 100
3 34 100
4 3 100
4 5 100
4 35 100
5 4 100
5 6 100
5 36 100
6 5 100
6 7 100
6 37 100
7 6 100
7 8 100
7 38 100
8 7 100
8 9 100
8 39 100
9 8 100
9 10 100
9 40 100
10 9 100
10 11 100
10 41 100
11 10 100
11 12 100
11 42 100
12 11 100
12 13 100
12 43 100
13 12 100
13 14 100
13 44 100
14 13 100
14 15 100
14 45 100
15 14 100
15 16 100
15 46 100
16 15 100
16 17 100
16 47 100
17 16 100
17 18 100
17 48 100
18 17 100
18 19 99
18 49 100
19 18 99
19 20 99
19 50 100
20 19 99
20 21 94
20 51 99
21 20 94
21 22 76
21 52 98
22 21 76
22 23 44
22 53 89
23 22 44
23 24 18
23 54 72
24 23 18
24 25 18
24 55 56
25 24 18
25 26 37
25 56 58
26 25 37
26 27 78
26 57 81
27 26 78
27 28 97
27 58 98
28 27 97
28 29 100
28 59 100
29 28 100
29 30 100
29 60 100
30 29 100
30 61 100
31 0 100
31 32 100
31 62 100
32 1 100
32 31 100
32 33 100
32 63 100
33 2 100
33 32 100
33 34 100
33 64 100
34 3 100
34 33 100
34 35 100
34 65 100
35 4 100
35 34 100
35 36 100
35 66 100
36 5 100
36 35 100
36 37 100
36 67 100
37 6 100
37 36 100
37 38 100
37 68 100
38 7 100
38 37 100
38 39 100
38 69 100
39 8 100
39 38 100
39 40 100
39 70 100
40 9 100
40 39 100
40 41 100
40 71 100
41 10 100
41 40 100
41 42 100
41 72 100
42 11 100
42 41 100
42 43 100
42 73 100
43 12 100
43 42 100
43 44 100
43 74 100
44 13 100
44 43 100
44 45 100
44 75 100
45 14 100
45 44 100
45 46 100
45 76 100
46 15 100
46 45 100
46 47 100
46 77 100
47 16 100
47 46 100
47 48 100
47 78 100
48 17 100
48 47 100
48 49 100
48 79 100
49 18 100
49 48 100
49 50 99
49 80 100
50 19 100
50 49 99
50 51 97
50 81 99
51 20 99
51 50 97
51 52 91
51 82 99
52 21 98
52 51 91
52 53 60
52 83 97
53 22 89
53 52 60
53 54 27
53 84 92
54 23 72
54 53 27
54 55 11
54 85 76
55 24 56
55 54 11
55 56 19
55 86 72
56 25 58
56 55 19
56 57 60
56 87 83
57 26 81
57 56 60
57 58 97
57 88 97
58 27 98
58 57 97
58 59 99
58 89 99
59 28 100
59 58 99
