902 3487
0 1 100
0 30 100
1 0 100
1 2 100
1 31 100
2 1 100
2 3 100
2 32 100
3 2 100
3 4 100
3 33 100
4 3 100
4 5 100
4 34 100
5 4 100
5 6 100
5 35 100
6 5 100
6 7 100
6 36 100
7 6 100
7 8 100
7 37 100
8 7 100
8 9 100
8 38 100
9 8 100
9 10 100
9 39 100
10 9 100
10 11 100
10 40 100
11 10 100
11 12 100
11 41 100
12 11 100
12 13 100
12 42 100
13 12 100
13 14 100
13 43 100
14 13 100
14 15 100
14 44 100
15 14 100
15 16 100
15 45 100
16 15 100
16 17 100
16 46 100
17 16 100
17 18 100
17 47 100
18 17 100
18 19 99
18 48 100
19 18 99
19 20 97
19 49 99
20 19 97
20 21 83
20 50 98
21 20 83
21 22 50
21 51 93
22 21 50
22 23 18
22 52 74
23 22 18
23 24 13
23 53 54
24 23 13
24 25 32
24 54 56
25 24 32
25 26 72
25 55 74
26 25 72
26 27 95
26 56 97
27 26 95
27 28 100
27 57 100
28 27 100
28 29 100
28 58 100
29 28 100
29 59 100
30 0 100
30 31 100
30 60 100
31 1 100
31 30 100
31 32 100
31 61 100
32 2 100
32 31 100
32 33 100
32 62 100
33 3 100
33 32 100
33 34 100
33 63 100
34 4 100
34 33 100
34 35 100
34 64 100
35 5 100
35 34 100
35 36 100
35 65 100
36 6 100
36 35 100
36 37 100
36 66 100
37 7 100
37 36 100
37 38 100
37 67 100
38 8 100
38 37 100
38 39 100
38 68 100
39 9 100
39 38 100
39 40 100
39 69 100
40 10 100
40 39 100
40 41 100
40 70 100
41 11 100
41 40 100
41 42 100
41 71 100
42 12 100
42 41 100
42 43 100
42 72 100
43 13 100
43 42 100
43 44 100
43 73 100
44 14 100
44 43 100
44 45 100
44 74 100
45 15 100
45 44 100
45 46 100
45 75 100
46 16 100
46 45 100
46 47 100
46 76 100
47 17 100
47 46 100
47 48 100
47 77 100
48 18 100
48 47 100
48 49 99
48 78 100
49 19 99
49 48 99
49 50 94
49 79 99
50 20 98
50 49 94
50 51 72
50 80 98
51 21 93
51 50 72
51 52 29
51 81 93
52 22 74
52 51 29
52 53 9
52 82 78
53 23 54
53 52 9
53 54 14
53 83 68
54 24 56
54 53 14
54 55 48
54 84 78
55 25 74
55 54 48
55 56 96
55 85 98
56 26 97
56 55 96
56 57 99
56 86 99
57 27 100
57 56 99
57 58 100
57 87 100
58 28 100
58 57 100
58 59 100
58 88 100
59 29 100
59 58 100
59 89 100
60 30 100
60 61 100
60 90 100
61 31 100
61 60 100
61 62 100
61 91 100
62 32 100
62 61 100
62 63 100
62 92 100
63 33 100
63 62 100
63 64 100
63 93 100
64 34 100
64 63 100
64 65 100
64 94 100
65 35 100
65 64 100
65 66 100
65 95 100
66 36 100
66 65 100
66 67 100
66 96 100
67 37 100
67 66 100
67 68 100
67 97 100
68 38 100
68 67 100
68 69 100
68 98 100
69 39 100
69 68 100
69 70 100
69 99 100
70 40 100
70 69 100
70 71 100
70 100 100
71 41 100
71 70 100
71 72 100
71 101 100
72 42 100
72 71 100
72 73 100
72 102 100
73 43 100
73 72 100
73 74 100
73 103 100
74 44 100
74 73 100
74 75 100
74 104 100
75 45 100
75 74 100
75 76 100
75 105 100
76 46 100
76 75 100
76 77 100
76 106 100
77 47 100
77 76 100
77 78 100
77 107 100
78 48 100
78 77 100
78 79 98
78 108 100
79 49 99
79 78 98
79 80 89
79 109 99
80 50 98
80 79 89
80 81 60
80 110 99
81 51 93
81 80 60
81 82 16
81 111 95
82 52 78
82 81 16
82 83 6
82 112 88
83 53 68
83 82 6
83 84 19
83 113 85
84 54 78
84 83 19
84 85 78
84 114 95
85 55 98
85 84 78
85 86 99
85 115 99
86 56 99
86 85 99
86 87 100
86 116 100
87 57 100
87 86 100
87 88 100
87 117 99
88 58 100
88 87 100
88 89 100
88 118 100
89 59 100
89 88 100
89 119 100
90 60 100
90 91 100
90 120 100
91 61 100
91 90 100
91 92 100
91 121 100
92 62 100
92 91 100
92 93 100
92 122 100
93 63 100
93 92 100
93 94 100
93 123 100
94 64 100
94 93 100
94 95 100
94 124 100
95 65 100
95 94 100
95 96 100
95 125 100
96 66 100
96 95 100
96 97 100
96 126 100
97 67 100
97 96 100
97 98 100
97 127 100
98 68 100
98 97 100
98 99 100
98 128 100
99 69 100
99 98 100
99 100 100
99 129 100
100 70 100
100 99 100
100 101 100
100 130 100
101 71 100
101 100 100
101 102 100
101 131 100
102 72 100
102 101 100
102 103 100
102 132 100
103 73 100
103 102 100
103 104 100
103 133 100
104 74 100
104 103 100
104 105 100
104 134 100
105 75 100
105 104 100
105 106 100
105 135 100
106 76 100
106 105 100
106 107 100
106 136 100
107 77 100
107 106 100
107 108 100
107 137 100
108 78 100
108 107 100
108 109 98
108 138 100
109 79 99
109 108 98
109 110 86
109 139 100
110 80 99
110 109 86
110 111 48
110 140 99
111 81 95
111 110 48
111 112 11
111 141 99
112 82 88
112 111 11
112 113 5
112 142 95
113 83 85
113 112 5
113 114 30
113 143 94
114 84 95
114 113 30
114 115 89
114 144 98
115 85 99
115 114 89
115 116 99
115 145 99
116 86 100
116 115 99
116 117 99
116 146 100
117 87 99
117 116 99
117 118 99
117 147 99
118 88 100
118 117 99
118 119 100
118 148 100
119 89 100
119 118 100
119 149 100
120 90 100
120 121 100
120 150 100
121 91 100
121 120 100
121 122 100
121 151 100
122 92 100
122 121 100
122 123 100
122 152 100
123 93 100
123 122 100
123 124 100
123 153 100
124 94 100
124 123 100
124 125 100
124 154 100
125 95 100
125 124 100
125 126 100
125 155 100
126 96 100
126 125 100
126 127 100
126 156 100
127 97 100
127 126 100
127 128 100
127 157 100
128 98 100
128 127 100
128 129 100
128 158 100
129 99 100
129 128 100
129 130 100
129 159 100
130 100 100
130 129 100
130 131 100
130 160 100
131 101 100
131 130 100
131 132 100
131 161 100
132 102 100
132 131 100
132 133 100
132 162 100
133 103 100
133 132 100
133 134 100
133 163 100
134 104 100
134 133 100
134 135 100
134 164 100
135 105 100
135 134 100
135 136 100
135 165 100
136 106 100
136 135 100
136 137 100
136 166 100
137 107 100
137 136 100
137 138 100
137 167 100
138 108 100
138 137 100
138 139 98
138 168 100
139 109 100
139 138 98
139 140 85
139 169 100
140 110 99
140 139 85
140 141 44
140 170 100
141 111 99
141 140 44
141 142 7
141 171 99
142 112 95
142 141 7
142 143 5
142 172 98
143 113 94
143 142 5
143 144 37
143 173 98
144 114 98
144 143 37
144 145 94
144 174 99
145 115 99
145 144 94
145 146 100
145 175 100
146 116 100
146 145 100
146 147 100
146 176 100
147 117 99
147 146 100
147 148 100
147 177 100
148 118 100
148 147 100
148 149 100
148 178 100
149 119 100
149 148 100
149 179 100
150 120 100
150 151 100
150 180 100
151 121 100
151 150 100
151 152 100
151 181 100
152 122 100
152 151 100
152 153 100
152 182 100
153 123 100
153 152 100
153 154 100
153 183 100
154 124 100
154 153 100
154 155 100
154 184 100
155 125 100
155 154 100
155 156 100
155 185 100
156 126 100
156 155 100
156 157 100
156 186 100
157 127 100
157 156 100
157 158 100
157 187 100
158 128 100
158 157 100
158 159 100
158 188 100
159 129 100
159 158 100
159 160 100
159 189 100
160 130 100
160 159 100
160 161 100
160 190 100
161 131 100
161 160 100
161 162 100
161 191 100
162 132 100
162 161 100
162 163 100
162 192 100
163 133 100
163 162 100
163 164 100
163 193 100
164 134 100
164 163 100
164 165 100
164 194 100
165 135 100
165 164 100
165 166 100
165 195 100
166 136 100
166 165 100
166 167 100
166 196 100
167 137 100
167 166 100
167 168 100
167 197 100
168 138 100
168 167 100
168 169 98
168 198 100
169 139 100
169 168 98
169 170 85
169 199 99
170 140 100
170 169 85
170 171 37
170 200 99
171 141 99
171 170 37
171 172 6
171 201 99
172 142 98
172 171 6
172 173 5
172 202 99
173 143 98
173 172 5
173 174 44
173 203 99
174 144 99
174 173 44
174 175 95
174 204 100
175 145 100
175 174 95
175 176 100
175 205 99
176 146 100
176 175 100
176 177 100
176 206 100
177 147 100
177 176 100
177 178 100
177 207 100
178 148 100
178 177 100
178 179 100
178 208 100
179 149 100
179 178 100
179 209 100
180 150 100
180 181 100
180 210 100
181 151 100
181 180 100
181 182 100
181 211 100
182 152 100
182 181 100
182 183 100
182 212 100
183 153 100
183 182 100
183 184 100
183 213 100
184 154 100
184 183 100
184 185 100
184 214 100
185 155 100
185 184 100
185 186 100
185 215 100
186 156 100
186 185 100
186 187 100
186 216 100
187 157 100
187 186 100
187 188 100
187 217 100
188 158 100
188 187 100
188 189 100
188 218 100
189 159 100
189 188 100
189 190 100
189 219 100
190 160 100
190 189 100
190 191 100
190 220 100
191 161 100
191 190 100
191 192 100
191 221 100
192 162 100
192 191 100
192 193 100
192 222 100
193 163 100
193 192 100
193 194 100
193 223 100
194 164 100
194 193 100
194 195 100
194 224 100
195 165 100
195 194 100
195 196 100
195 225 100
196 166 100
196 195 100
196 197 100
196 226 100
197 167 100
197 196 100
197 198 100
197 227 100
198 168 100
198 197 100
198 199 99
198 228 100
199 169 99
199 198 99
199 200 83
199 229 99
200 170 99
200 199 83
200 201 41
200 230 99
201 171 99
201 200 41
201 202 6
201 231 98
202 172 99
202 201 6
202 203 4
202 232 98
203 173 99
203 202 4
203 204 41
203 233 99
204 174 100
204 203 41
204 205 96
204 234 99
205 175 99
205 204 96
205 206 99
205 235 99
206 176 100
206 205 99
206 207 100
206 236 100
207 177 100
207 206 100
207 208 100
207 237 100
208 178 100
208 207 100
208 209 100
208 238 100
209 179 100
209 208 100
209 239 99
210 180 100
210 211 100
210 240 100
211 181 100
211 210 100
211 212 100
211 241 100
212 182 100
212 211 100
212 213 100
212 242 100
213 183 100
213 212 100
213 214 100
213 243 100
214 184 100
214 213 100
214 215 100
214 244 100
215 185 100
215 214 100
215 216 100
215 245 100
216 186 100
216 215 100
216 217 100
216 246 100
217 187 100
217 216 100
217 218 100
217 247 100
218 188 100
218 217 100
218 219 100
218 248 100
219 189 100
219 218 100
219 220 100
219 249 100
220 190 100
220 219 100
220 221 100
220 250 100
221 191 100
221 220 100
221 222 100
221 251 100
222 192 100
222 221 100
222 223 100
222 252 100
223 193 100
223 222 100
223 224 100
223 253 100
224 194 100
224 223 100
224 225 100
224 254 100
225 195 100
225 224 100
225 226 100
225 255 100
226 196 100
226 225 100
226 227 100
226 256 100
227 197 100
227 226 100
227 228 100
227 257 99
228 198 100
228 227 100
228 229 99
228 258 100
229 199 99
229 228 99
229 230 85
229 259 99
230 200 99
230 229 85
230 231 46
230 260 99
231 201 98
231 230 46
231 232 6
231 261 98
232 202 98
232 231 6
232 233 3
232 262 97
233 203 99
233 232 3
233 234 37
233 263 96
234 204 99
234 233 37
234 235 94
234 264 99
235 205 99
235 234 94
235 236 100
235 265 99
236 206 100
236 235 100
236 237 100
236 266 100
237 207 100
237 236 100
